GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024RC80	ARRDC4	located_in	GO:1903561	extracellular vesicle	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A0A0B4J1F4|ensembl:ENSMUSP00000044578	9606	Ensembl		C
UniProtKB	A0PJK1	SLC5A10	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	A0PJK1	SLC5A10	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A1KXE4	FAM168B	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A4D1S5	RAB19	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	A4FU01	MTMR11	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:18570454		9606	UniProt	part_of(CL:0000047)	C
UniProtKB	A5A3E0	POTEF	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A5D8V6	VPS37C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	A5D8V6	VPS37C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A6NEC2	NPEPPSL1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A6NGU5	GGT3P	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A6NHG4	DDTL	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A6NMY6	ANXA2P2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A6NNZ2	TUBB8B	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	A8K2U0	A2ML1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	A8K8M5	A8K8M5	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:18570454		9606	UniProt	part_of(CL:0000047)	C
UniProtKB	A8MQ03	CYSRT1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	B0I1S9	MYO1B	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:18570454		9606	UniProt	part_of(CL:0000047)	C
UniProtKB	B0I1T2	MYO1G	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	B5MD39	GGTLC3	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	B9A064	IGLL5	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00115	DNASE2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00154	ACOT7	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00159	MYO1C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:21362503		9606	UniProt	part_of(CL:0002367)	C
UniProtKB	O00159	MYO1C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	O00159	MYO1C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00159	MYO1C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00159	MYO1C	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00161	SNAP23	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00161	SNAP23	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00186	STXBP3	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00187	MASP2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00187	MASP2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00189	AP4M1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00194	RAB27B	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	O00194	RAB27B	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00204	SULT2B1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00232	PSMD12	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00299	CLIC1	located_in	GO:0070062	extracellular exosome	ECO:0000314	IDA	PMID:15326289		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00299	CLIC1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00299	CLIC1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00299	CLIC1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00308	WWP2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00322	UPK1A	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00391	QSOX1	located_in	GO:0070062	extracellular exosome	ECO:0000314	IDA	PMID:21082674		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00391	QSOX1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00401	WASL	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00443	PIK3C2A	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00468	AGRN	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	O00468	AGRN	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00468	AGRN	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00469	PLOD2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	O00506	STK25	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00515	LAD1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:18570454		9606	UniProt	part_of(CL:0000047)	C
UniProtKB	O00526	UPK2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00526	UPK2	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00533	CHL1	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00560	SDCBP	located_in	GO:1903561	extracellular vesicle	ECO:0007005	HDA	PMID:24769233		9606	UniProt	part_of(UBERON:0001359)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0000314	IDA	PMID:21082674		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:21362503		9606	UniProt	part_of(CL:0002367)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19056867		9606	UniProt	part_of(UBERON:0001088)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:20458337		9606	UniProt	part_of(CL:0000639)	C
UniProtKB	O00560	SDCBP	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:23533145		9606	UniProt		C
UniProtKB	O00571	DDX3X	located_in	GO:0070062	extracellular exosome	ECO:0007005	HDA	PMID:19199708		9606	UniProt	part_of(UBERON:0001831)	C
